區鄉,里村,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資收入,稿費收入
文山區,萬興里,2885,3524435,28173,110031,2635244,159676,78447,11473,5298,422197,10473,57672,5435,316,3280525,19765
文山區,明興里,2358,2052336,18957,44607,1643463,88579,37005,6001,3847,176282,4358,29785,1187,0,2170843,5892
文山區,明義里,1169,919740,9698,21931,743192,34812,13996,1945,1534,68935,3430,17582,1189,1496,995756,5395
文山區,試院里,2370,2732728,10619,48907,1889977,111133,71804,18137,4138,513249,11795,51870,1343,0,2432928,7414
文山區,樟新里,1963,2149937,15836,63923,1590160,88158,67906,4635,2972,253278,9637,50417,2218,797,2027093,10228
文山區,樟林里,2810,2491481,23449,56149,1987886,114337,37813,6438,4208,212153,6000,41830,1216,0,2621172,8956
文山區,忠順里,1545,1878435,13676,70864,1329286,86866,33017,10860,2242,217886,8864,85486,2047,17342,1659556,8164
文山區,萬美里,2417,3020039,15532,65598,1870794,113141,75644,15041,3411,743134,18210,96728,1302,1505,2381006,9332
文山區,興邦里,1750,1698513,9119,29075,1350676,78999,22410,3087,3421,163085,1230,31440,3004,2967,1742946,7925
文山區,樟樹里,1548,1297422,7437,21131,1034787,53074,29172,5149,1994,107458,1146,30893,2088,3091,1378560,6814
文山區,政大里,2650,4134397,28673,152253,3108284,130142,89348,16973,5053,452371,19118,127917,4888,0,3729988,22604
文山區,樟文里,1987,1815670,18126,44454,1368654,73996,37044,7601,3426,224746,4256,30600,2308,461,1818903,7718
文山區,其　他,93,72383,920,2860,55652,3303,1887,1115,88,4039,0,2423,0,97,72682,297
文山區,合　計,88842,92726983,670254,2737553,68852244,4015014,2249546,350863,150021,11253008,323192,1928584,79849,116855,88395472,371431
南港區,南港里,2062,1965713,17182,52252,1442461,73946,69183,7909,2381,187256,6081,99450,2627,4985,1912065,5739
南港區,三重里,2956,5611690,32638,169037,3727202,148690,189946,69303,5818,1073717,33938,125027,2743,33631,4396596,12182
南港區,新富里,1311,1000417,13595,25148,774717,42102,40000,3467,1293,83817,1536,10780,92,3870,1052891,1698
南港區,中研里,3334,3173666,19282,62576,2402010,131454,69894,9256,4301,362581,20690,85262,1770,4590,3156132,13575
南港區,鴻福里,1566,1387060,9569,48748,1030359,65966,36469,6038,1928,163510,1463,20231,211,2567,1372438,2397
南港區,東新里,2384,1876341,28976,62693,1414505,73699,44092,8751,3151,196905,1545,26530,1288,14206,1963596,4136
